"sifra_ko","obcina"
229,"SVETI JURIJ OB ŠČAVNICI"
230,"LJUTOMER"
230,"KRIŽEVCI"
231,"KRIŽEVCI"
232,"KRIŽEVCI"
233,"VERŽEJ"
234,"VERŽEJ"
235,"KRIŽEVCI"
236,"KRIŽEVCI"
237,"LJUTOMER"
237,"VERŽEJ"
238,"LJUTOMER"
239,"LJUTOMER"
240,"LJUTOMER"
241,"LJUTOMER"
242,"LJUTOMER"
243,"LJUTOMER"
244,"KRIŽEVCI"
245,"KRIŽEVCI"
246,"KRIŽEVCI"
247,"KRIŽEVCI"
248,"LJUTOMER"
249,"LJUTOMER"
250,"KRIŽEVCI"
251,"SVETI JURIJ OB ŠČAVNICI"
252,"LJUTOMER"
253,"LJUTOMER"
254,"LJUTOMER"
255,"LJUTOMER"
256,"LJUTOMER"
257,"LJUTOMER"
258,"LJUTOMER"
259,"LJUTOMER"
260,"LJUTOMER"
261,"LJUTOMER"
262,"LJUTOMER"
263,"LJUTOMER"
264,"LJUTOMER"
265,"LJUTOMER"
266,"LJUTOMER"
267,"LJUTOMER"
268,"LJUTOMER"
269,"LJUTOMER"
270,"LJUTOMER"
271,"LJUTOMER"
272,"LJUTOMER"
273,"LJUTOMER"
274,"LJUTOMER"
274,"RAZKRIŽJE"
275,"RAZKRIŽJE"
276,"RAZKRIŽJE"
277,"RAZKRIŽJE"
278,"RAZKRIŽJE"
279,"SVETI TOMAŽ"
280,"SVETI TOMAŽ"
281,"SVETI TOMAŽ"
282,"SVETI TOMAŽ"
283,"SVETI TOMAŽ"
284,"SVETI TOMAŽ"
285,"SVETI TOMAŽ"
286,"SVETI TOMAŽ"
287,"ORMOŽ"
287,"SVETI TOMAŽ"
288,"SVETI TOMAŽ"
289,"SVETI TOMAŽ"
290,"ORMOŽ"
291,"ORMOŽ"
292,"ORMOŽ"
293,"ORMOŽ"
294,"ORMOŽ"
295,"ORMOŽ"
296,"ORMOŽ"
297,"ORMOŽ"
298,"ORMOŽ"
299,"ORMOŽ"
300,"ORMOŽ"
301,"ORMOŽ"
302,"ORMOŽ"
303,"ORMOŽ"
304,"ORMOŽ"
305,"ORMOŽ"
306,"ORMOŽ"
307,"ORMOŽ"
308,"ORMOŽ"
309,"ORMOŽ"
310,"ORMOŽ"
311,"SREDIŠČE OB DRAVI"
311,"ORMOŽ"
312,"ORMOŽ"
313,"SREDIŠČE OB DRAVI"
314,"ORMOŽ"
315,"ORMOŽ"
316,"ORMOŽ"
317,"ORMOŽ"
318,"ORMOŽ"
319,"ORMOŽ"
320,"ORMOŽ"
321,"ORMOŽ"
322,"ORMOŽ"
323,"ORMOŽ"
324,"ORMOŽ"
325,"ORMOŽ"
326,"ORMOŽ"
327,"ORMOŽ"
328,"ORMOŽ"
329,"ORMOŽ"
330,"ORMOŽ"
331,"ORMOŽ"
332,"ORMOŽ"
333,"ORMOŽ"
334,"ORMOŽ"
335,"ORMOŽ"
336,"SREDIŠČE OB DRAVI"
337,"SREDIŠČE OB DRAVI"
338,"SREDIŠČE OB DRAVI"
338,"ORMOŽ"
339,"SVETI ANDRAŽ V SLOV. GORICAH"
340,"SVETI ANDRAŽ V SLOV. GORICAH"
341,"SVETI ANDRAŽ V SLOV. GORICAH"
342,"SVETI ANDRAŽ V SLOV. GORICAH"
343,"SVETI ANDRAŽ V SLOV. GORICAH"
344,"SVETI ANDRAŽ V SLOV. GORICAH"
345,"TRNOVSKA VAS"
346,"TRNOVSKA VAS"
347,"TRNOVSKA VAS"
348,"DESTRNIK"
348,"TRNOVSKA VAS"
349,"DESTRNIK"
350,"TRNOVSKA VAS"
351,"DESTRNIK"
352,"DESTRNIK"
353,"JURŠINCI"
354,"JURŠINCI"
355,"JURŠINCI"
356,"PTUJ"
356,"JURŠINCI"
357,"JURŠINCI"
358,"JURŠINCI"
359,"JURŠINCI"
360,"JURŠINCI"
361,"DESTRNIK"
362,"DESTRNIK"
363,"DESTRNIK"
364,"DESTRNIK"
365,"DESTRNIK"
366,"PTUJ"
367,"PTUJ"
368,"DESTRNIK"
369,"DESTRNIK"
370,"DESTRNIK"
371,"DESTRNIK"
372,"PTUJ"
373,"JURŠINCI"
374,"JURŠINCI"
375,"JURŠINCI"
376,"JURŠINCI"
377,"DORNAVA"
378,"DORNAVA"
379,"DORNAVA"
380,"DORNAVA"
381,"GORIŠNICA"
381,"DORNAVA"
382,"DORNAVA"
383,"DORNAVA"
384,"DORNAVA"
385,"PTUJ"
386,"PTUJ"
387,"PTUJ"
388,"PTUJ"
389,"PTUJ"
390,"PTUJ"
391,"PTUJ"
392,"PTUJ"
393,"HAJDINA"
394,"HAJDINA"
394,"KIDRIČEVO"
395,"HAJDINA"
396,"HAJDINA"
397,"PTUJ"
397,"KIDRIČEVO"
397,"HAJDINA"
399,"HAJDINA"
400,"PTUJ"
401,"PTUJ"
402,"PTUJ"
403,"MARKOVCI"
404,"MARKOVCI"
405,"MARKOVCI"
406,"GORIŠNICA"
407,"GORIŠNICA"
408,"GORIŠNICA"
409,"GORIŠNICA"
410,"GORIŠNICA"
411,"GORIŠNICA"
412,"GORIŠNICA"
413,"GORIŠNICA"
414,"MARKOVCI"
415,"MARKOVCI"
416,"MARKOVCI"
417,"VIDEM"
417,"MARKOVCI"
418,"MARKOVCI"
419,"VIDEM"
420,"MARIBOR"
420,"VIDEM"
421,"HAJDINA"
421,"VIDEM"
422,"VIDEM"
423,"VIDEM"
424,"KIDRIČEVO"
424,"APAČE"
425,"KIDRIČEVO"
425,"PTUJ"
426,"KIDRIČEVO"
427,"KIDRIČEVO"
428,"KIDRIČEVO"
429,"KIDRIČEVO"
430,"KIDRIČEVO"
431,"KIDRIČEVO"
432,"KIDRIČEVO"
433,"KIDRIČEVO"
434,"KIDRIČEVO"
435,"KIDRIČEVO"
436,"MAJŠPERK"
437,"MAJŠPERK"
438,"MAJŠPERK"
439,"MAJŠPERK"
440,"MAJŠPERK"
441,"MAJŠPERK"
442,"MAJŠPERK"
443,"MAJŠPERK"
444,"MAJŠPERK"
445,"VIDEM"
446,"VIDEM"
447,"VIDEM"
448,"VIDEM"
449,"PTUJ"
449,"VIDEM"
450,"VIDEM"
451,"PODLEHNIK"
452,"VIDEM"
453,"PODLEHNIK"
454,"PODLEHNIK"
455,"PODLEHNIK"
456,"PODLEHNIK"
457,"PODLEHNIK"
458,"VIDEM"
459,"VIDEM"
460,"VIDEM"
461,"CIRKULANE"
462,"CIRKULANE"
463,"CIRKULANE"
464,"ZAVRČ"
465,"ZAVRČ"
466,"ZAVRČ"
467,"ZAVRČ"
468,"ZAVRČ"
469,"ZAVRČ"
470,"ZAVRČ"
471,"ZAVRČ"
472,"ZAVRČ"
473,"CIRKULANE"
474,"CIRKULANE"
475,"CIRKULANE"
476,"CIRKULANE"
477,"CIRKULANE"
478,"CIRKULANE"
479,"CIRKULANE"
480,"CIRKULANE"
481,"CIRKULANE"
482,"GORIŠNICA"
482,"CIRKULANE"
483,"VIDEM"
484,"VIDEM"
485,"VIDEM"
486,"VIDEM"
487,"VIDEM"
488,"VIDEM"
489,"VIDEM"
490,"VIDEM"
491,"VIDEM"
491,"PODLEHNIK"
492,"PODLEHNIK"
492,"VIDEM"
493,"PODLEHNIK"
494,"PODLEHNIK"
495,"PODLEHNIK"
496,"PODLEHNIK"
497,"ŽETALE"
498,"ŽETALE"
499,"MAJŠPERK"
500,"MAJŠPERK"
501,"MAJŠPERK"
502,"MAJŠPERK"
503,"MAJŠPERK"
504,"ŽETALE"
505,"ŽETALE"
506,"ŽETALE"
507,"SVETA ANA"
508,"SVETA ANA"
509,"SVETA ANA"
510,"SVETA ANA"
511,"SVETI JURIJ V SLOVENSKIH GORICAH"
511,"SVETI JURIJ V SLOV. GORICAH"
512,"SVETA ANA"
513,"SVETA ANA"
514,"SVETA ANA"
515,"SVETA ANA"
516,"BENEDIKT"
517,"BENEDIKT"
518,"BENEDIKT"
519,"BENEDIKT"
520,"BENEDIKT"
521,"BENEDIKT"
522,"LENART"
523,"LENART"
524,"SVETA ANA"
525,"SVETI JURIJ V SLOV. GORICAH"
525,"SVETI JURIJ V SLOVENSKIH GORICAH"
527,"SVETI JURIJ V SLOVENSKIH GORICAH"
527,"SVETI JURIJ V SLOV. GORICAH"
528,"SVETI JURIJ V SLOVENSKIH GORICAH"
528,"SVETI JURIJ V SLOV. GORICAH"
529,"SVETI JURIJ V SLOV. GORICAH"
529,"LENART"
529,"SVETI JURIJ V SLOVENSKIH GORICAH"
530,"SVETI JURIJ V SLOV. GORICAH"
530,"SVETI JURIJ V SLOVENSKIH GORICAH"
530,"LENART"
531,"SVETI JURIJ V SLOV. GORICAH"
531,"LENART"
532,"LENART"
533,"SV. TROJICA V SLOV. GORICAH"
533,"LENART"
534,"SV. TROJICA V SLOV. GORICAH"
534,"SVETA TROJICA V SLOVENSKIH GORICAH"
535,"LENART"
535,"SV. TROJICA V SLOV. GORICAH"
535,"SVETA TROJICA V SLOVENSKIH GORICAH"
536,"SVETA TROJICA V SLOVENSKIH GORICAH"
536,"SV. TROJICA V SLOV. GORICAH"
537,"SV. TROJICA V SLOV. GORICAH"
538,"SVETA TROJICA V SLOVENSKIH GORICAH"
538,"SV. TROJICA V SLOV. GORICAH"
539,"CERKVENJAK"
540,"CERKVENJAK"
541,"CERKVENJAK"
542,"CERKVENJAK"
542,"MORAVSKE TOPLICE"
543,"CERKVENJAK"
544,"CERKVENJAK"
545,"CERKVENJAK"
546,"SV. TROJICA V SLOV. GORICAH"
547,"SV. TROJICA V SLOV. GORICAH"
547,"SVETA TROJICA V SLOVENSKIH GORICAH"
548,"SVETA TROJICA V SLOVENSKIH GORICAH"
548,"SV. TROJICA V SLOV. GORICAH"
549,"LENART"
550,"LENART"
551,"LENART"
552,"LENART"
553,"LENART"
554,"LENART"
555,"LENART"
556,"SVETA TROJICA V SLOVENSKIH GORICAH"
556,"SV. TROJICA V SLOV. GORICAH"
557,"LENART"
558,"LENART"
559,"LENART"
561,"LENART"
562,"LENART"
563,"ŠENTILJ"
564,"ŠENTILJ"
565,"ŠENTILJ"
566,"ŠENTILJ"
567,"ŠENTILJ"
568,"ŠENTILJ"
569,"ŠENTILJ"
570,"ŠENTILJ"
571,"PESNICA"
572,"PESNICA"
573,"PESNICA"
574,"PESNICA"
575,"ŠENTILJ"
576,"ŠENTILJ"
577,"PESNICA"
578,"PESNICA"
579,"PESNICA"
580,"PESNICA"
581,"ŠENTILJ"
582,"ŠENTILJ"
583,"ŠENTILJ"
584,"ŠENTILJ"
585,"ŠENTILJ"
586,"KUNGOTA"
587,"KUNGOTA"
588,"KUNGOTA"
589,"KUNGOTA"
590,"KUNGOTA"
591,"KUNGOTA"
592,"KUNGOTA"
593,"KUNGOTA"
594,"KUNGOTA"
595,"MARIBOR"
595,"KUNGOTA"
596,"KUNGOTA"
597,"KUNGOTA"
598,"KUNGOTA"
599,"KUNGOTA"
600,"KUNGOTA"
601,"KUNGOTA"
602,"MARIBOR"
603,"PESNICA"
603,"KUNGOTA"
604,"KUNGOTA"
605,"PESNICA"
606,"PESNICA"
607,"PESNICA"
608,"PESNICA"
609,"PESNICA"
610,"PESNICA"
611,"PESNICA"
612,"PESNICA"
613,"PESNICA"
614,"PESNICA"
615,"PESNICA"
616,"PESNICA"
617,"PESNICA"
618,"PESNICA"
619,"PESNICA"
620,"KUNGOTA"
621,"MARIBOR"
622,"MARIBOR"
623,"SELNICA OB DRAVI"
624,"SELNICA OB DRAVI"
625,"SELNICA OB DRAVI"
626,"SELNICA OB DRAVI"
627,"SELNICA OB DRAVI"
628,"SELNICA OB DRAVI"
629,"SELNICA OB DRAVI"
630,"SELNICA OB DRAVI"
631,"SELNICA OB DRAVI"
632,"SELNICA OB DRAVI"
633,"MARIBOR"
634,"MARIBOR"
635,"MARIBOR"
636,"MARIBOR"
637,"MARIBOR"
638,"MARIBOR"
639,"MARIBOR"
640,"MARIBOR"
641,"PESNICA"
642,"PESNICA"
643,"PESNICA"
644,"MARIBOR"
645,"MARIBOR"
646,"MARIBOR"
647,"MARIBOR"
648,"MARIBOR"
649,"MARIBOR"
650,"MARIBOR"
651,"MARIBOR"
652,"MARIBOR"
653,"MARIBOR"
654,"MARIBOR"
655,"MARIBOR"
656,"MARIBOR"
657,"MARIBOR"
658,"MARIBOR"
659,"MARIBOR"
659,"TABOR"
660,"MARIBOR"
661,"MARIBOR"
662,"MARIBOR"
663,"RUŠE"
664,"MARIBOR"
664,"RUŠE"
665,"RUŠE"
666,"LOVRENC NA POHORJU"
666,"RUŠE"
667,"RUŠE"
667,"LOVRENC NA POHORJU"
668,"LOVRENC NA POHORJU"
669,"LOVRENC NA POHORJU"
670,"LOVRENC NA POHORJU"
671,"LOVRENC NA POHORJU"
672,"RUŠE"
673,"RUŠE"
674,"MARIBOR"
675,"MARIBOR"
676,"MARIBOR"
677,"MARIBOR"
678,"MARIBOR"
679,"MARIBOR"
680,"MARIBOR"
681,"MARIBOR"
682,"MARIBOR"
683,"MARIBOR"
684,"MARIBOR"
684,"DUPLEK"
685,"DUPLEK"
686,"DUPLEK"
687,"DUPLEK"
688,"DUPLEK"
689,"DUPLEK"
690,"DUPLEK"
691,"DUPLEK"
692,"DUPLEK"
693,"MIKLAVŽ NA DRAVSKEM POLJU"
693,"MARIBOR"
694,"HOČE-SLIVNICA"
695,"HOČE-SLIVNICA"
696,"HOČE-SLIVNICA"
697,"HOČE-SLIVNICA"
698,"HOČE-SLIVNICA"
699,"HOČE-SLIVNICA"
700,"HOČE-SLIVNICA"
701,"HOČE-SLIVNICA"
702,"RAČE-FRAM"
703,"MARIBOR"
703,"HOČE-SLIVNICA"
704,"HOČE-SLIVNICA"
705,"HOČE-SLIVNICA"
706,"HOČE-SLIVNICA"
707,"HOČE-SLIVNICA"
708,"MIKLAVŽ NA DRAVSKEM POLJU"
709,"STARŠE"
710,"DUPLEK"
711,"DUPLEK"
712,"STARŠE"
713,"STARŠE"
714,"STARŠE"
715,"STARŠE"
716,"RAČE-FRAM"
717,"RAČE-FRAM"
718,"RAČE-FRAM"
719,"RAČE-FRAM"
720,"RAČE-FRAM"
721,"RAČE-FRAM"
722,"RAČE-FRAM"
723,"RAČE-FRAM"
723,"STARŠE"
724,"RAČE-FRAM"
724,"STARŠE"
725,"SLOVENSKA BISTRICA"
726,"SLOVENSKA BISTRICA"
727,"SLOVENSKA BISTRICA"
728,"SLOVENSKA BISTRICA"
729,"SLOVENSKA BISTRICA"
730,"SLOVENSKA BISTRICA"
731,"SLOVENSKA BISTRICA"
732,"SLOVENSKA BISTRICA"
734,"SLOVENSKA BISTRICA"
735,"SLOVENSKA BISTRICA"
736,"SLOVENSKA BISTRICA"
737,"SLOVENSKA BISTRICA"
738,"SLOVENSKA BISTRICA"
739,"SLOVENSKA BISTRICA"
740,"SLOVENSKA BISTRICA"
741,"SLOVENSKA BISTRICA"
742,"SLOVENSKA BISTRICA"
743,"SLOVENSKA BISTRICA"
744,"SLOVENSKA BISTRICA"
745,"SLOVENSKA BISTRICA"
746,"SLOVENSKA BISTRICA"
747,"SLOVENSKA BISTRICA"
748,"SLOVENSKA BISTRICA"
749,"KIDRIČEVO"
750,"SLOVENSKA BISTRICA"
751,"SLOVENSKA BISTRICA"
752,"SLOVENSKA BISTRICA"
753,"MARIBOR"
753,"SLOVENSKA BISTRICA"
754,"SLOVENSKA BISTRICA"
755,"SLOVENSKA BISTRICA"
756,"SLOVENSKA BISTRICA"
757,"SLOVENSKA BISTRICA"
758,"OPLOTNICA"
759,"OPLOTNICA"
760,"OPLOTNICA"
761,"OPLOTNICA"
762,"ZREČE"
762,"OPLOTNICA"
763,"OPLOTNICA"
764,"OPLOTNICA"
765,"SLOVENSKA BISTRICA"
766,"SLOVENSKA BISTRICA"
767,"SLOVENSKA BISTRICA"
768,"SLOVENSKA BISTRICA"
